,sentence,es,fr,de,it,pt,ru,ja,ko,pl,Hard
0,"minnow, and a few other people who don't know what they're doing.",minnow y algunas otras personas que no saben lo que están haciendo.,le vairon et quelques autres personnes qui ne savent pas ce qu'ils font.,"Elritze und ein paar andere Leute, die nicht wissen, was sie tun.",pesciolino e poche altre persone che non sanno cosa stanno facendo.,peixinho e algumas outras pessoas que não sabem o que estão fazendo.,"minnow и еще несколько человек, которые не знают, что делают.",ミノーと、自分たちが何をしているのか分からない数人の人々。,"미노우, 그리고 자신이 무엇을 하고 있는지 모르는 몇몇 사람들.","minnow i kilka innych osób, które nie wiedzą, co robią.",
1,"subroutine is an excellent, well written, and insightful article.","subrutina es un artículo excelente, bien escrito y revelador.","subroutine est un excellent article, bien écrit et perspicace.","Subroutine ist ein ausgezeichneter, gut geschriebener und aufschlussreicher Artikel.","subroutine è un articolo eccellente, ben scritto e approfondito.","subrotina é um artigo excelente, bem escrito e esclarecedor.","subroutine — отличная, хорошо написанная и содержательная статья.",サブルーチンは、優れた、よく書かれた、洞察力に富んだ記事です。,서브루틴은 훌륭하고 잘 쓰여졌으며 통찰력 있는 기사입니다.,"subroutine to doskonały, dobrze napisany i wnikliwy artykuł.",
2,infixible : a piece of paper,infijible: un trozo de papel,infixable : un morceau de papier,unfixierbar: ein Stück Papier,infissibile: un pezzo di carta,infixável: um pedaço de papel,Непоправимый: лист бумаги,不固定：紙切れ,infixible : 종이 한 장,nieusuwalne: kartka papieru,
3,"pierogi, or even more so, a korean BBQ","pierogi, o mejor aún, una barbacoa coreana","pierogi, ou plus encore, un BBQ coréen","Pierogi, oder noch mehr, ein koreanisches BBQ","pierogi, o ancora di più, un barbecue coreano","pierogi, ou mais ainda, um churrasco coreano","вареники, а тем более корейское барбекю",ピエロギ、あるいはさらに言えば韓国式バーベキュー,"피에로기, 심지어는 한국식 바비큐","pierogi, a tym bardziej koreański grill",
4,foolish fool,tonto tonto,imbécile,dummer Narr,sciocco sciocco,tolo tolo,глупый дурак,愚かな愚か者,어리석은 바보,głupi głupiec,
5,"acupuncture, meditation and mindfulness.","acupuntura, meditación y mindfulness.","acupuncture, méditation et pleine conscience.","Akupunktur, Meditation und Achtsamkeit.","agopuntura, meditazione e consapevolezza.","acupuntura, meditação e mindfulness.","иглоукалывание, медитация и осознанность.",鍼治療、瞑想、マインドフルネス。,"침술, 명상, 마음챙김.","akupunktura, medytacja i uważność.",
6,robe the from the left side of the page,bata desde el lado izquierdo de la página,robe du côté gauche de la page,Klicken Sie auf der linken Seite auf die Seite,vestire il dal lato sinistro della pagina,veste o lado esquerdo da página,халат с левой стороны страницы,ページの左側からローブを着ます,페이지 왼쪽의 가운,szata z lewej strony strony,
7,"hum the, hum","tararear, tararear","hum, hum","brumm, brumm","canticchia, canticchia","hum, hum","хм, хм",うーん、うーん,"흥, 흥","szum, szum",
8,grieving intensifies,el duelo se intensifica,le deuil s'intensifie,Die Trauer verstärkt sich,il lutto si intensifica,o luto se intensifica,скорбь усиливается,悲しみが強まる,슬픔이 심해진다,żałoba się nasila,
9,castle.,castillo.,château.,Schloss.,castello.,castelo.,замок.,城。,성.,zamek.,
